Date,y,m,d,tw_Open,tw_High,tw_Low,tw_Close,tw_Adj_Close,jp_Open,jp_Adj_Close,chnsse_Open,chnsse_Adj_Close,chnhs_Open,chnhs_Adj_Close,ko_Open,ko_Adj_Close,iny_Open,iny_Adj Close,ind_Open,ind_Adj_Close,astsp_Open,astsp_Adj_Close,ast_Open,ast_Adj_Close,usdow_Open,usdow_Adj_Close,usnsdq_Open,usnsdq_Adj_Close,usvix_Open,usvix_Adj_Close,ussp_Open,ussp_Adj_Close,eurestx_Open,eurestx_Adj_Close,blx_Open,blx_Adj_Close,fnc_Open,fnc_Adj_Close,grm_Open,grm_Adj Close,cnd_Open,cnd_Adj_Close,mxc_Open,mxc_Adj_Close,agt_Open,agt_Adj_Close,chl_Adj_Close,chl_Open,bx_Open,bx_Adj_Close,Isrl_Open,Isrl_Adj_Close,tw_VALUE,jp_VALUE ,chn_VALUE,chnhk_VALUE,bx_VALUE,cnd_VALUE,ind_VALUE,ko_VALUE,mlx_VALUE,mxc_VALUE,sd_VALUE,nafrc_VALUE,sgp_VALUE,sz_VALUE,aut_VALUE,eur_VALUE,nzn_VALUE,uk_VALUE,RDSCUNT_RATE,RATE_YEAR,RATE,BOND_RATE,PRP_M,PRP_M_P,M1A,M1B,M2,PUR_A,ASSETS,LIABILITIES
1997-07-02,1997,7,2,9094.269531,9124.299805,8988.129883,8996.719727,8996.686523,20203.520,20196.420,1255.909,1199.061,15263.800,15126.250,763.390,777.290,731.752991,730.133362,4302.959961,4333.899902,2685.8,2685.8,2721.2,2745.9,7721.7,7795.38,1443.24,1455.61,20.74,19.7,891.03,904.03,2452.79,2452.79,2410.1,2444.9,2947.6,2909.5,3840.32,3867.53,6471.500,6549.000,4508.800,4559.200,818.67,824.11,1217.59,1203.42,13271,13260,290.32,294.5,27.87,114.52,8.321,7.7472,1.0767,1.377,35.8,890.5,2.5255,7.951,7.771,4.533,1.4302,1.4719,0.7525,1.21392933408516,0.678,1.667,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
1997-07-03,1997,7,3,9061.599609,9061.599609,8997.509766,9027.629883,9027.59668,20238.721,20121.410,1194.676,1150.623,15346.000,15055.700,778.820,775.260,730.482,735.47,4335.79,4323.46,2681.3,2681.3,2745.9,2742.9,7797,7895.8,1464.07,1467.61,18.46,17.82,904.03,916.92,2491.58,2491.58,2458.3,2488.1,2926.5,2937,3882.48,3939.73,6610.100,6588.000,4559.500,4591.600,823.91,831.44,1230.53,1217.72,13414,13285,294.5,295.15,27.89,113.46,8.3214,7.7445,1.0778,1.3736,35.79,889,2.5202,7.953,7.714,4.525,1.432,1.466,0.7537,1.22138843564685,0.6775,1.6885,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
1997-07-04,1997,7,4,9144.959961,9218.209961,9119.25,9192.570313,9192.536133,20122.811,19968.000,1138.921,1159.342,15166.900,14823.000,776.020,781.700,735.825,736.575,4332.7,4323.82,2673.1,2673.1,2742.9,2733.4,7846.75,7877.15,1468.34,1469.175,18.585,18.475,910.475,914.56,2509.09,2509.09,2490.9,2473.2,2926.5,2934.5,3965.37,3946.73,6588.000,6585.400,4591.600,4644.600,831.71,837.95,1235.93,1230.66,13500,13494,296.565,298.96,27.905,113.03,8.3216,7.74365,1.07785,1.3749,35.805,889,2.5225,7.93,7.72075,4.53225,1.4339,1.4625,0.7486,1.22046669884049,0.676,1.68775,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
1997-07-07,1997,7,7,9365.19043,9370.410156,9304.820313,9322.839844,9322.805664,19931.891,19705.170,1161.707,1096.819,14844.800,14858.600,777.700,773.510,736.618,737.984,4326.81,4291.45,2653.7,2653.7,2733.4,2713,7896.5,7858.5,1472.61,1470.74,18.71,19.13,916.92,912.2,2531.84,2531.84,2472,2504.5,2917.7,2947.7,3956.31,4003.35,6562.600,6529.100,4644.600,4741.200,838.14,841.69,1224.79,1236.06,13597,13502,298.63,302.77,27.92,112.6,8.3218,7.7428,1.0779,1.3762,35.82,889,2.5248,7.907,7.7275,4.5395,1.4358,1.459,0.7435,1.21954496203414,0.6745,1.687,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
1997-07-08,1997,7,8,9345.549805,9371.5,9282.099609,9305.269531,9305.235352,19731.971,19853.891,1092.799,1109.666,14847.000,14792.200,773.000,767.740,738.021,740.811,4285.65,4306.39,2621.8,2621.8,2713,2679.2,7858,7962.3,1471.45,1485.1,19.08,18.76,912.2,918.75,2520.46,2520.46,2499.3,2493.2,2948.7,2929.8,3986.65,4030.1,6540.600,6580.800,4741.400,4821.100,841.83,846.33,1226.71,1224.92,13617,13617,302.77,303.85,27.94,112.76,8.3219,7.7436,1.079,1.3745,35.8,890,2.505,7.919,7.778,4.5565,1.4385,1.4655,0.747,1.21249688037867,0.6757,1.6885,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
1997-07-09,1997,7,9,9391.280273,9415.580078,9343.299805,9362.679688,9362.645508,19920.689,19697.170,1113.641,1120.841,14820.300,14703.700,768.260,771.990,740.942,738.116,4315.42,4404.69,2637,2637,2679.2,2696.1,7961.4,7842.4,1491.84,1486.63,18.58,20.4,918.75,907.54,2544.62,2544.62,2513.5,2500.2,2946.5,2950.6,4050.37,4026.97,6596.000,6574.600,4821.100,4836.500,844.1,845.975,1227.27,1226.83,13811,13613,303.85,303.95,27.95,112.97,8.322,7.743,1.0796,1.373,35.78,890,2.5044,7.898,7.7245,4.558,1.4372,1.4602,0.745,1.22002593134069,0.673,1.684,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
1997-07-10,1997,7,10,9470.929688,9511.799805,9420.709961,9429.740234,9429.706055,19709.770,19754.779,1121.259,1120.154,14666.800,14839.200,771.990,767.770,738.166,729.129,4413.39,4378.37,2635.8,2635.8,2696.1,2694.4,7852.8,7886.8,1485.67,1490.93,19.89,19.92,907.54,913.78,2512.98,2512.98,2492.3,2486.8,2928.5,2929.1,4029.43,4000.65,6583.900,6592.900,4836.500,4862.400,846.37,845.62,1222.65,1227.4,14005,13609,303.95,298.74,27.87,113.08,8.3213,7.7425,1.0794,1.3736,35.77,891,2.489,7.879,7.725,4.5525,1.4307,1.4498,0.743,1.21986875660558,0.6724,1.6881,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
1997-07-11,1997,7,11,9498.070313,9526.740234,9333.790039,9394.629883,9394.595703,19788.279,19875.490,1116.415,1154.794,14870.800,15225.300,766.910,768.300,729.438,723.395,4372.75,4321.98,2641.1,2641.1,2694.4,2699.1,7887.21,7921.8,1489.71,1502.62,19.29,19.06,913.78,916.68,2542.17,2542.17,2495.9,2492.4,2937.6,2941.6,4018.21,4074.3,6600.900,6626.400,4862.400,4821.600,845.23,850.62,1212.75,1223.23,13609,13153,302.96,299.025,27.87,113.88,8.3206,7.7462,1.08,1.3705,35.73,892,2.505,7.852,7.752,4.548,1.4395,1.4601,0.7404,1.21600211195077,0.6697,1.6935,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
1997-07-14,1997,7,14,9626.339844,9626.339844,9561.080078,9593.540039,9593.503906,19909.090,20228.721,1189.474,1200.114,15298.900,15370.900,767.170,764.450,723.691,722.477,4251.7,4225.02,2614,2614,2695.9,2673,7920.4,7923,1506.97,1523.88,19.02,19.58,916.68,918.38,2554.05,2554.05,2498.4,2501.3,2940.95,2946.15,4093.7,4142.19,6639.800,6639.600,4821.600,4777.100,850.62,836.14,1205.1,1213.33,13153,12698,301.97,299.31,27.94,113.76,8.321,7.7495,1.0801,1.369,35.75,893.5,2.569,7.872,7.7995,4.5555,1.442,1.472,0.736,1.2095162912961,0.6655,1.6882,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
1997-07-15,1997,7,15,9714.780273,9714.780273,9451.450195,9555.980469,9555.945313,20236.820,20069.410,1200.110,1200.110,15388.800,15487.200,762.930,755.050,722.674,722.188,4229.89,4221.02,2577.8,2577.8,2673,2637.6,7926,7975.7,1534.57,1542.11,19.51,19,918.38,925.76,2546.57,2546.57,2495.5,2489.7,2944.3,2950.7,4127.55,4139.68,6644.900,6655.900,4777.100,4694.400,835.37,807.91,1182.03,1206.12,12701,11617,299.31,299.4,27.96,115.87,8.3216,7.7485,1.0807,1.3708,35.73,894,2.569,7.887,7.864,4.556,1.4433,1.4803,0.7343,1.20080556360047,0.663,1.6765,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
1997-07-16,1997,7,16,9634.790039,9648.429688,9482.450195,9544.55957,9544.524414,20139.311,20358.740,1201.595,1190.826,15577.900,15446.000,750.350,739.720,723.679,723.482,4232.53,4183.42,2588.6,2588.6,2637.6,2646.4,7973.2,8038.9,1561.41,1580.63,19.8,19.36,925.76,936.59,2598.19,2598.19,2501.2,2531.1,2969.8,2988,4164.61,4223.69,6705.800,6744.800,4694.400,4787.400,806.59,826.37,1194.63,1182.15,11617,12640,299.4,295.8,27.97,116.28,8.3219,7.7498,1.0804,1.3736,35.73,896,2.593,7.923,7.83,4.557,1.449,1.4832,0.7355,1.20557198743893,0.6592,1.6745,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
1997-07-17,1997,7,17,9742.580078,9889.450195,9571.799805,9571.799805,9571.763672,20412.240,20519.250,1188.267,1197.226,15606.300,15706.300,743.790,743.545,723.613,723.73,4183.91,4193.61,2612.7,2612.7,2646.4,2669.7,8037,8020.8,1581.25,1568.85,19.97,20.54,936.59,931.61,2601.8,2601.8,2550.2,2541.4,3006.1,2958.6,4250.26,4203.91,6744.600,6755.100,4787.400,4816.400,826.37,815.35,1183.94,1194.76,12787,11728,295.8,298.12,27.97,116.13,8.321,7.75,1.081,1.3781,35.72,896,2.5905,7.859,7.781,4.5585,1.459,1.4815,0.7357,1.21236888816557,0.6557,1.675,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
1997-07-18,1997,7,18,9669.740234,9677.400391,9555.980469,9677.400391,9677.364258,20444.240,20249.320,1199.399,1209.857,15611.500,15570.400,737.230,747.370,723.547,723.979,4174.72,4124.81,2626.8,2626.8,2669.7,2684.2,8020.5,7890.5,1559.5,1547.99,21.01,22.28,931.61,915.3,2558.56,2558.56,2531.8,2494,2941.9,2876.7,4207.16,4131.94,6739.900,6738.200,4814.900,4720.500,814.39,802.11,1170.55,1184.18,11740,11182,295.21,296.8,27.96,115.46,8.3215,7.7515,1.0811,1.3746,35.71,897,2.6475,7.903,7.7687,4.568,1.4692,1.473,0.743,1.21405420213744,0.6523,1.6761,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
